CUI,STR
C4302896,Hormone sensitive prostate cancer
C4302897,Kallman syndrome with heart disease
C4302898,Central cord syndrome of thoracic spinal cord at T1 level
C4302906,Intellectual disability with cataract and kyphosis syndrome
C4302912,Posterior cord syndrome of thoracic spinal cord at T1 level
C4302916,Persistent Mullerian derivative with lymphangiectasia and polydactyly syndrome
C4302917,Lymphedema and cerebral arteriovenous anomaly syndrome
C4302918,Lung agenesis with heart defect and thumb anomaly syndrome
C4302919,"Lung fibrosis, immunodeficiency, 46,XX gonadal dysgenesis syndrome"
C4302920,"Lipodystrophy, intellectual disability, deafness syndrome"
C4302921,Posterior cord syndrome of lumbar spinal cord at L4 level
C4302941,Brown-Séquard syndrome at T12 level
C4302943,Brown-Séquard syndrome at T4 level
C4302944,Brown-Séquard syndrome at T8 level
C4302955,Secondary adenocarcinoma of bilateral lungs
C4302959,Corticosteroid-induced glaucoma of bilateral eyes
C4302963,Detachment of right retina co-occurrent with retinal defect
C4302964,Perennial allergic conjunctivitis of bilateral eyes
C4302965,Partial thickness macular hole of right eye
C4302966,Partial thickness macular hole of left eye
C4302967,Pseudoexfoliation of bilateral lens capsules
C4302970,Posterior vitreous degeneration of right eye
C4302971,Posterior vitreous degeneration of left eye
C4302972,Posterior vitreous degeneration of bilateral eyes
C4302973,Relative afferent pupillary defect of left eye
C4302975,Pseudophakic bullous keratopathy of right eye
C4302976,Pseudophakic bullous keratopathy of left eye
C4302977,Pseudoexfoliation of right lens capsule
C4302978,Pseudoexfoliation of left lens capsule
C4302979,Pigment dispersion syndrome of bilateral eyes
C4302981,Papilloma of right eyelid
C4302982,Papilloma of left eyelid
C4302986,Drusen of retina of right eye
C4302987,Drusen of retina of left eye
C4302988,Drusen of retina of bilateral eyes
C4302989,Disorder of macula of right eye
C4302990,Disorder of macula of left eye
C4302992,Full thickness macular hole of right eye
C4302993,Full thickness macular hole of left eye
C4302994,Hypertropia of right eye
C4302995,Hypertropia of left eye
C4303000,Histoplasmosis syndrome of bilateral eyes
C4303001,High astigmatism of bilateral eyes
C4303002,Entropion of bilateral eyelids
C4303003,Eczematous dermatitis of bilateral eyelids
C4303004,Ectropion of bilateral eyelids
C4303011,Cutis laxa of bilateral lower eyelid
C4303013,Meibomianitis of right eyelid
C4303014,Meibomianitis of left eyelid
C4303015,Meibomianitis of bilateral upper and lower eyelids
C4303016,Meibomian gland dysfunction of bilateral eyes
C4303017,Macular edema of retina of bilateral eyes
C4303019,Lagophthalmos of bilateral eyelids
C4303020,Detachment of left retina co-occurrent with retinal defect
C4303024,Non-diabetic proliferative retinopathy of bilateral eyes
C4303027,Myopic macular degeneration of bilateral eyes
C4303028,Central serous choroidopathy of right eye
C4303029,Central serous choroidopathy of left eye
C4303030,Central serous choroidopathy of bilateral eyes
C4303031,Cataract of posterior subcapsule of right eye
C4303032,Cataract of posterior subcapsule of left eye
C4303033,Cataract of posterior subcapsule of bilateral eyes
C4303034,Blepharitis of bilateral upper eyelids
C4303035,Blepharitis of bilateral lower eyelids
C4303036,Blepharitis of bilateral eyelids caused by staphylococcus
C4303037,Asteroid hyalosis of bilateral eyes
C4303038,Angular blepharitis of bilateral eyelids
C4303042,Xanthoma of bilateral upper eyelids
C4303043,Xanthoma of bilateral eyelids
C4303046,Vitreomacular adhesion of bilateral eyes
C4303054,Salzmann nodular degeneration of cornea of left eye
C4303055,Salzmann's nodular degeneration of cornea of bilateral eyes
C4303060,Thrombophlebitis of superficial vein of left lower limb
C4303061,Thrombophlebitis of vein of left upper limb
C4303062,Thrombophlebitis of superficial vein of left upper limb
C4303063,Secondary malignant neoplasm of bilateral adrenal glands
C4303067,Congenital microgastria with limb reduction defect syndrome
C4303068,Microduplication Xp11.22p11.23 syndrome
C4303070,Microphthalmia with brain and digit anomaly
C4303071,Mendelian susceptibility to mycobacterial disease due to complete interferon gamma receptor 2 deficiency
C4303072,Primary adenocarcinoma of upper lobe of right lung
C4303076,Non-retentive fecal incontinence
C4303077,Meningitis caused by Spirochaetes
C4303079,Hypogonadotropic hypogonadism with frontoparietal alopecia syndrome
C4303080,"Hyperuricemia, anemia, renal failure syndrome"
C4303081,Hypertrichosis and acromegaloid facial appearance syndrome
C4303082,Hyperinsulinism due to uncoupling protein 2 deficiency
C4303083,Infection caused by Brugia
C4303085,Infection caused by Loa
C4303086,Infection caused by Onchocerca
C4303087,Infection caused by Spirometra
C4303088,Encephalitis caused by Coenurus cerebralis
C4303089,Encephalitis caused by Taenia solium
C4303090,Meningitis caused by Taenia solium
C4303091,Encephalitis caused by Echinococcus granulosus
C4303093,Encephalitis caused by Schistosoma japonicum
C4303094,Encephalitis caused by Schistosoma mansoni
C4303095,Encephalitis caused by Schistosoma haematobium
C4303096,Encephalitis caused by Schistosoma
C4303097,Disorder of kidney and/or ureter caused by Schistosoma haematobium
C4303098,Infection caused by Naegleria fowleri
C4303099,Encephalitis caused by Trypanosoma brucei
C4303100,Meningitis caused by Trypanosoma brucei
C4303101,Recurrent malignant neoplasm of prostate
C4303102,Infection caused by Cyclospora
C4303103,Infection of intestine caused by Entamoeba histolytica
C4303104,Infection caused by Scytalidium
C4303105,Infection caused by Piedraia
C4303106,Infection of lung caused by Pneumocystis
C4303107,Infection caused by Saprochaete
C4303108,Infection caused by Lacazia
C4303110,Disseminated infection caused by Chrysosporium
C4303111,Infection caused by Chrysosporium
C4303112,Neonatal mucocutaneous infection caused by Candida
C4303113,Infection caused by Saprochaete capitata
C4303114,Meningitis caused by Mucorales
C4303115,Encephalitis caused by Nipah virus
C4303116,Encephalitis caused by Hendra virus
C4303117,Encephalitis caused by Rubulavirus
C4303119,Infection caused by Coltavirus
C4303120,Infection caused by Lujo virus
C4303121,Infection caused by Chapare virus
C4303122,Infection caused by Sabia virus
C4303123,Infection caused by Guanarito virus
C4303124,Encephalitis caused by Polyoma virus
C4303126,Infection caused by Erythroparvovirus
C4303128,Infection of intestine caused by Human cytomegalovirus 5
C4303129,Meningitis caused by Human cytomegalovirus 5
C4303130,Meningitis caused by Epstein-Barr virus
C4303131,Infection of central nervous system caused by Herpes simplex virus
C4303132,Infection of skin and/or mucous membrane caused by Herpes simplex virus
C4303133,Encephalitis caused by Alphavirus
C4303134,Meningitis caused by Human poliovirus
C4303135,Infection caused by Human poliovirus
C4303136,Adult T-cell leukemia/lymphoma of skin
C4303137,Infection caused by Human T-lymphotropic virus
C4303138,Infection caused by Tropheryma
C4303139,Infection caused by Orientia
C4303140,Sinusitis caused by Haemophilus influenzae
C4303141,Meningitis caused by Tropheryma whipplei
C4303142,Meningitis caused by Nocardia
C4303143,Meningitis caused by Actinomycetales
C4303144,Fetus or newborn infection caused by Staphylococcus aureus
C4303145,Meningitis caused by methicillin resistant Staphylococcus aureus
C4303146,Meningitis caused by Enterococcus
C4303147,Infection caused by gamma-hemolytic Streptococcus
C4303148,Meningitis caused by Streptococcus agalactiae
C4303149,Childhood cellulitis of perianal region caused by beta-hemolytic Streptococcus group A
C4303150,Fetus or newborn infection caused by Streptococcus group B
C4303151,Infection caused by beta-hemolytic Streptococcus
C4303152,Otitis media caused by Streptococcus pneumoniae
C4303153,Sinusitis caused by Streptococcus pneumoniae
C4303154,Infection caused by alpha-hemolytic Streptococcus
C4303155,Infection of musculoskeletal system caused by Mycobacterium tuberculosis
C4303156,Meningitis caused by Enterobacter
C4303157,Fetus or newborn infection caused by Escherichia coli
C4303158,Primary adenocarcinoma of peritoneum
C4303159,Primary adenocarcinoma of ampulla of Vater
C4303162,Autoimmune hepatitis type 3
C4303163,Autoimmune hepatitis type 2
C4303164,Autoimmune hepatitis type 1
C4303165,Primary cloacogenic carcinoma of anal canal
C4303168,Crohn disease of anal canal
C4303169,Primary neuroendocrine carcinoma of rectum
C4303170,Primary adenocarcinoma of descending colon and splenic flexure
C4303171,Primary malignant neuroendocrine neoplasm of colon
C4303172,Primary neuroendocrine carcinoma of colon
C4303173,Primary adenocarcinoma of transverse colon
C4303174,Primary adenocarcinoma of ascending colon and right flexure
C4303175,Inflammatory fibroid polyp of large intestine
C4303176,Hamartomatous polyp of large intestine
C4303177,Benign lymphoid polyp of large intestine
C4303178,Acute hemorrhagic ulcer of rectum
C4303182,Inflammatory polyps co-occurrent and due to inflammatory bowel disease
C4303183,Parasitic infection causing colitis
C4303184,Paralytic ileus of large intestine
C4303185,Gallstone ileus of large intestine
C4303186,Intussusception of large intestine
C4303187,Pneumatosis intestinalis of large intestine
C4303188,Primary mucinous adenocarcinoma of appendix
C4303189,Primary neuroendocrine carcinoma of small intestine
C4303190,Primary malignant neuroendocrine neoplasm of small intestine
C4303191,Primary adenocarcinoma of overlapping lesion of small intestine
C4303192,Lymphoid hyperplasia of small intestine
C4303194,Hamartoma of small intestine
C4303195,Vasculitis of mesenteric artery
C4303197,Amyloidosis of small intestine
C4303198,Enteritis of small intestine caused by radiation
C4303199,Parasitic infection causing inflammation of small intestine
C4303200,Enteritis caused by protozoan
C4303201,Food poisoning caused by Listeria monocytogenes
C4303202,Pneumatosis intestinalis of small intestine
C4303203,Diverticular disease of small and large intestine
C4303204,Enterolith of small intestine
C4303205,Gallstone ileus of small intestine
C4303206,Intussusception of small intestine
C4303211,Congenital diverticulitis of small intestine
C4303212,Primary neuroendocrine carcinoma of duodenum
C4303213,Primary malignant mesenchymal neoplasm of stomach
C4303214,Primary neuroendocrine carcinoma of overlapping lesion of stomach
C4303215,Primary neuroendocrine carcinoma of pyloric antrum of stomach
C4303216,Primary neuroendocrine carcinoma of body of stomach
C4303217,Primary neuroendocrine carcinoma of cardia of stomach
C4303218,Primary neuroendocrine carcinoma of stomach
C4303219,Primary malignant neuroendocrine neoplasm of pyloric antrum of stomach
C4303220,Primary malignant neuroendocrine neoplasm of body of stomach
C4303221,Primary malignant neuroendocrine neoplasm of cardia of stomach
C4303222,Primary adenocarcinoma of overlapping lesion of stomach
C4303223,Primary adenocarcinoma of pyloric antrum of stomach
C4303225,Primary adenocarcinoma of cardia of stomach
C4303226,Linitis plastica of stomach
C4303227,Primary adenocarcinoma of esophagogastric junction
C4303228,Malignant melanoma of esophagus
C4303229,Primary malignant neuroendocrine neoplasm of esophagus
C4303230,Primary neuroendocrine carcinoma of esophagus
C4303231,Primary adenocarcinoma of overlapping lesion of esophagus
C4303232,Primary adenocarcinoma of middle third of esophagus
C4303233,Primary adenocarcinoma of upper third of esophagus
C4303234,Primary squamous cell carcinoma of overlapping lesion of esophagus
C4303235,Primary squamous cell carcinoma of lower third of esophagus
C4303236,Primary squamous cell carcinoma of middle third of esophagus
C4303237,Primary squamous cell carcinoma of upper third of esophagus
C4303238,Non-infective neonatal diarrhea
C4303239,Fetal intrauterine perforation of stomach
C4303240,Fetal intrauterine perforation of intestine
C4303241,Neonatal eosinophilic esophagitis
C4303242,Neonatal esophagitis
C4303243,Extensive aganglionosis Hirschsprung disease
C4303244,Hirschsprung disease of rectosigmoid region
C4303245,Primary undifferentiated carcinoma of oropharynx
C4303246,Primary adenocarcinoma of overlapping lesion of accessory sinuses
C4303247,Primary squamous cell carcinoma of overlapping lesion of accessory sinuses
C4303248,Primary squamous cell carcinoma of overlapping lesion of male genital organ
C4303249,Primary choriocarcinoma of testis
C4303250,Primary embryonal carcinoma of testis
C4303251,Aggressive fibromatosis of breast
C4303253,Lactating adenoma of breast
C4303254,Solid papillary carcinoma in situ of breast
C4303255,Primary intracystic papillary carcinoma of breast
C4303256,Vulvitis caused by chemical
C4303257,Infection of anogenital region caused by Molluscum contagiosum virus
C4303258,Sexually transmissible infection caused by Molluscum contagiosum virus
C4303259,Hepatitis caused by sexually transmissible virus
C4303260,Sexually transmissible infection caused by Human papillomavirus
C4303261,Sexually transmissible infection caused by Herpes simplex virus
C4303262,Benign fibrohistiocytic neoplasm of soft tissue of limb
C4303263,Primary myosarcoma of omentum
C4303264,Primary synovial sarcoma of soft tissue of limb
C4303265,Primary liposarcoma of male genital organ
C4303266,Primary liposarcoma of soft tissue of limb
C4303267,Primary angiosarcoma of breast
C4303268,Primary angiosarcoma of heart
C4303269,Primary rhabdomyosarcoma of male genital organ
C4303270,Sepsis caused by Pseudomonas aeruginosa
C4303271,Benign stromal neoplasm of gastrointestinal tract
C4303272,Primary adenocarcinoma of uterine ligament
C4303273,Primary adenocarcinoma of parametrium
C4303274,Primary malignant melanoma of vagina
C4303275,Primary adenocarcinoma overlapping lesion of retroperitoneum peritoneum and omentum
C4303276,Primary adenocarcinoma of middle ear
C4303277,Primary adenocarcinoma of nasal cavity
C4303278,Primary adenocarcinoma of common bile duct
C4303280,Primary adenocarcinoma of parotid gland
C4303281,Primary adenocarcinoma of palate
C4303282,Primary adenocarcinoma of cystic duct
C4303286,Primary adenocarcinoma of lacrimal apparatus
C4303287,Primary malignant neoplasm of lacrimal apparatus
C4303288,Primary adenocarcinoma of epithelium of iris
C4303289,Primary adenocarcinoma of ciliary epithelium
C4303290,Acquired cyst of orbit
C4303291,Hemangioma of umbilical cord
C4303292,Acute desquamating eruption of skin
C4303294,Primary malignant sarcoma of skin
C4303295,Primary adnexal carcinoma of skin
C4303296,Psoriasis of anogenital region
C4303297,Autonomic disorder caused by toxin
C4303298,Central neurocytoma of brain
C4303301,Brown-Séquard syndrome of lumbar spinal cord
C4303302,Benign neoplasm of eye region
C4303303,Brown-Séquard syndrome at L1 level
C4303304,Posterior cord syndrome of lumbar spinal cord at L3 level
C4303305,Posterior cord syndrome of lumbar spinal cord at L2 level
C4303306,Posterior cord syndrome of lumbar spinal cord
C4303307,Anterior cord syndrome of lumbar spinal cord at L4 level
C4303308,Central cord syndrome of lumbar spinal cord at L5 level
C4303309,Anterior cord syndrome of lumbar spinal cord at L3 level
C4303310,Anterior cord syndrome of lumbar spinal cord at L2 level
C4303311,Anterior cord syndrome of lumbar spinal cord
C4303313,Central cord syndrome of lumbar spinal cord at L3 level
C4303314,Central cord syndrome of lumbar spinal cord at L4 level
C4303315,Central cord syndrome of lumbar spinal cord
C4303321,Brown-Séquard syndrome at T9 level
C4303322,Brown-Séquard syndrome at T11 level
C4303324,Brown-Séquard syndrome at T5 level
C4303326,Brown-Séquard syndrome at T7 level
C4303327,Brown-Séquard syndrome at T6 level
C4303328,Brown-Séquard syndrome at T3 level
C4303329,Brown-Séquard syndrome at T2 level
C4303330,Posterior cord syndrome of thoracic spinal cord at T10 level
C4303331,Posterior cord syndrome of thoracic spinal cord at T7 level
C4303332,Posterior cord syndrome of thoracic spinal cord at T11 level
C4303333,Posterior cord syndrome of thoracic spinal cord at T3 level
C4303334,Posterior cord syndrome of thoracic spinal cord at T9 level
C4303335,Posterior cord syndrome of thoracic spinal cord at T8 level
C4303336,Posterior cord syndrome of thoracic spinal cord at T2 level
C4303337,Posterior cord syndrome of thoracic spinal cord at T6 level
C4303338,Posterior cord syndrome of thoracic spinal cord at T5 level
C4303339,Posterior cord syndrome of thoracic spinal cord at T4 level
C4303341,Anterior cord syndrome of thoracic spinal cord at T12 level
C4303342,Anterior cord syndrome of thoracic spinal cord at T11 level
C4303343,Anterior cord syndrome of thoracic spinal cord at T10 level
C4303344,Anterior cord syndrome of thoracic spinal cord at T5 level
C4303345,Anterior cord syndrome of thoracic spinal cord at T9 level
C4303346,Anterior cord syndrome of thoracic spinal cord at T8 level
C4303347,Anterior cord syndrome of thoracic spinal cord at T7 level
C4303348,Anterior cord syndrome of thoracic spinal cord at T6 level
C4303349,Central cord syndrome of thoracic spinal cord at T9 level
C4303350,Anterior cord syndrome of thoracic spinal cord at T4 level
C4303351,Anterior cord syndrome of thoracic spinal cord at T3 level
C4303352,Anterior cord syndrome of thoracic spinal cord at T2 level
C4303353,Central cord syndrome of thoracic spinal cord at T8 level
C4303354,Central cord syndrome of thoracic spinal cord at T12 level
C4303355,Central cord syndrome of thoracic spinal cord at T11 level
C4303356,Central cord syndrome of thoracic spinal cord at T10 level
C4303357,Central cord syndrome of thoracic spinal cord at T3 level
C4303358,Central cord syndrome of thoracic spinal cord at T7 level
C4303359,Central cord syndrome of thoracic spinal cord at T6 level
C4303360,Central cord syndrome of thoracic spinal cord at T5 level
C4303362,Central cord syndrome of thoracic spinal cord at T2 level
C4303363,Central cord syndrome of thoracic spinal cord
C4303384,Brown-Sequard syndrome at C6 level
C4303385,Brown-Sequard syndrome at C5 level
C4303386,Brown-Sequard syndrome at C2 level
C4303387,Brown-Sequard syndrome at C1 level
C4303388,Posterior cord syndrome of cervical spinal cord at C8 level
C4303389,Posterior cord syndrome of cervical spinal cord at C7 level
C4303390,Posterior cord syndrome of cervical spinal cord at C1 level
C4303391,Posterior cord syndrome of cervical spinal cord at C2 level
C4303393,Posterior cord syndrome of cervical spinal cord at C3 level
C4303394,Posterior cord syndrome of lumbar spinal cord at L5 level
C4303421,Posterior cord syndrome of cervical spinal cord at C5 level
C4303422,Systemic Epstein-Barr virus positive T-cell lymphoproliferative disease of childhood
C4303425,Acute myeloid leukemia due to recurrent genetic abnormality
C4303426,Refractory anemia with ringed sideroblasts associated with marked thrombocytosis
C4303427,Myeloid and lymphoid neoplasm with fibroblast growth factor receptor 1 abnormality
C4303428,Acquired thiamine deficiency anemia
C4303429,Acquired hearing loss
C4303431,Adrenocortical hypofunction following procedure
C4303432,Chronic primary gouty arthritis
C4303433,Acidosis due to type 2 diabetes mellitus
C4303434,Acidosis due to type 1 diabetes mellitus
C4303436,Neonatal conjunctivitis and dacrocystitis caused by Neisseria gonorrhoeae
C4303437,Parasitic infection of fetus or newborn
C4303438,Neonatal infection caused by Aspergillus
C4303439,Neonatal sepsis caused by Malassezia
C4303440,Fetus or newborn infection caused by fungus
C4303441,Fetus or newborn infection caused by Anaerobic bacterium
C4303442,Fetus or newborn infection caused by bacterium
C4303443,Congenital infection caused by Echovirus
C4303444,Infection of vertebra
C4303445,Infection causing spondyloarthritis
C4303446,Infection causing chondrolysis of articular cartilage
C4303447,Pyogenic abscess of skin caused by bacterium
C4303448,Pyogenic infection of skin and subcutaneous tissues caused by bacterium
C4303449,Superficial folliculitis caused by bacterium
C4303451,Infection of skin and mucous membrane caused by Human papillomavirus
C4303452,Infection of skin and/or mucous membrane caused by Herpes virus
C4303453,Hydatic cyst of orbit
C4303455,Infection of lacrimal drainage system
C4303456,Infection causing inflammation of optic nerve
C4303457,Parasitic infection of lacrimal gland
C4303458,Infection of lacrimal gland caused by fungus
C4303459,Infection of lacrimal gland caused by bacterium
C4303460,Infection of lacrimal gland caused by virus
C4303461,Infection of lacrimal gland
C4303462,Acquired prion disease
C4303463,Infection causing spinal epidural cyst
C4303464,Infection causing spinal subdural cyst
C4303465,Infection of diaper area
C4303466,Abscess of spinal cord caused by bacterium
C4303467,Myelitis caused by fungus
C4303468,Myelitis caused by bacterium
C4303469,Meningitis caused by Paramyxovirus
C4303470,Meningitis caused by gram-negative aerobic bacillus
C4303471,Meningitis caused by gram-negative aerobic coccus
C4303473,Hyperinsulinism due to short chain 3-hydroxyacyl-coenzyme A dehydrogenase deficiency
C4303474,Hyperinsulinism due to insulin receptor deficiency
C4303475,Hyperinsulinism due to HNF1A deficiency
C4303476,Hydrocephalus with obesity and hypogonadism syndrome
C4303478,Hughes Stovin syndrome
C4303479,Homocystinuria without methylmalonic aciduria
C4303481,Hirschsprung disease with type D brachydactyly syndrome
C4303482,Familial Alzheimer-like prion disease
C4303485,Erosive lichen planus of vagina
C4303487,Edema due to fluid overload
C4303488,Acquired parafimbrial cyst of fallopian tube
C4303490,Simple endometrial glandular hyperplasia without atypia
C4303491,Simple endometrial glandular hyperplasia with atypia
C4303492,Protozoal disease complicating pregnancy childbirth and the puerperium
C4303493,Prepubertal lichen sclerosus of vulva
C4303494,Premature ovarian failure due to autoimmune oophoritis
C4303495,Polyneuropathy due to classical cystic fibrosis
C4303496,Pemphigus of vulva
C4303497,Neuroendocrine neoplasm of gastrointestinal tract
C4303498,Necrosis of capillary of kidney due to glomerular disease
C4303499,Myopathy due to magnesium deficiency
C4303500,Methylcobalamin deficiency type cbl G
C4303501,Megaloblastic anemia due to folate deficiency in prematurity
C4303502,Megaloblastic anemia due to folate deficiency in pregnancy and lactation
C4303503,Megaloblastic anemia due to folate deficiency due to increased requirement
C4303504,Low alkaline phosphatase due to chronic kidney disease
C4303506,Localized edema due to fluid overload
C4303507,Lichen planopilaris of vulva
C4303510,Idiopathic premature ovarian failure
C4303511,Idiopathic glomerular disease
C4303512,Hypomagnesemia co-occurrent with normocalciuria
C4303513,Hypertrophic vulval lichen planus
C4303516,Congenital hydronephrosis due to ureteropelvic junction obstruction
C4303518,Human immunodeficiency virus complicating pregnancy childbirth and the puerperium
C4303521,Fluorine deficiency
C4303522,Fluid overload without edema
C4303526,Dental caries due to fluorine deficiency
C4303527,Variably protease sensitive prionopathy
C4303529,Congenital chalasia of esophagus
C4303533,Chloride responsive metabolic alkalosis
C4303534,Chloride non-responsive metabolic alkalosis
C4303537,Calculus of upper urinary tract
C4303541,Acquired hydronephrosis due to ureteropelvic junction obstruction
C4303544,Fimbrial adhesions
C4303545,"Brain malformation, congenital heart disease, postaxial polydactyly syndrome"
C4303546,Brain dopamine-serotonin vesicular transport disease
C4303547,BNAR syndrome
C4303548,"Blindness, scoliosis, arachnodactyly syndrome"
C4303549,"Blepharoptosis, myopia, ectopia lentis syndrome"
C4303550,"Blepharophimosis, ptosis, esotropia, syndactyly, short stature syndrome"
C4303551,Bilateral microtia with deafness and cleft palate syndrome
C4303552,COG4 congenital disorder of glycosylation
C4303565,Hereditary sensory and autonomic neuropathy with spastic paraplegia
C4303566,Hereditary sensory and autonomic neuropathy with deafness and global delay
C4303567,Hereditary sensory and autonomic neuropathy type 1B
C4303568,Glycogen storage disease with severe cardiomyopathy due to glycogenin deficiency
C4303569,Glossopalatine ankylosis
C4303570,"Global developmental delay, osteopenia, ectodermal defect syndrome"
C4303571,Combined immunodeficiency due to CRAC (calcium release activated calcium) channel dysfunction
C4303577,Acquired cerebral atrophy
C4303579,Idiopathic small fiber peripheral neuropathy
C4303588,Diffuse palmoplantar keratoderma and acrocyanosis syndrome
C4303589,"Diaphragmatic defect, limb deficiency, skull defect syndrome"
C4303590,"Developmental malformation, deafness, dystonia syndrome"
C4303591,Dermo-odonto dysplasia
C4303592,"Dentinogenesis imperfecta, short stature, hearing loss, intellectual disability syndrome"
C4303593,DEND syndrome
C4303594,Deafness and intellectual disability Martin Probst type syndrome
C4303600,Angina co-occurrent and due to coronary arteriosclerosis
C4303602,Intermittent claudication of right lower limb co-occurrent and due to atherosclerosis
C4303603,Unstable angina co-occurrent and due to coronary arteriosclerosis
C4303604,Intermittent claudication of left lower limb co-occurrent and due to atherosclerosis
C4303605,Intermittent claudication of bilateral lower limbs co-occurrent and due to atherosclerosis
C4303612,Short stature due to primary acid labile subunit deficiency
C4303613,"Short stature, pituitary and cerebellar defect and small sella turcica syndrome"
C4303621,Short fifth metacarpal insulin resistance syndrome
C4303625,Sebaceous cyst of bilateral eyelids
C4303632,Thoracic insufficiency syndrome
C4303651,Transitional cell carcinoma of right ureter
C4303652,Transitional cell carcinoma of right renal pelvis
C4303653,Transitional cell carcinoma of left renal pelvis
C4303654,Squamous cell carcinoma of left lung
C4303655,Secondary malignant neoplasm of lymph nodes of neck from thyroid
C4303656,Benign neuroendocrine neoplasm of pancreas
C4303657,Primary squamous cell carcinoma of left ear
C4303658,Primary glioblastoma multiforme of frontal lobe
C4303659,Primary basal cell carcinoma of right upper limb
C4303660,Multiple dysplastic nevi
C4303661,Malignant melanoma of skin of left lower limb
C4303662,Lipoma of skin and subcutaneous tissue
C4303663,Extensive stage primary small cell carcinoma of lung
C4303664,Angiomyolipoma of bilateral kidneys
C4303665,Mendelian susceptibility to mycobacterial disease due to complete interleukin 12 subunit beta deficiency
C4303666,Pressure ulcer of buttock stage 4
C4303667,Pressure ulcer of buttock stage 3
C4303668,Pressure ulcer of buttock stage 2
C4303669,Pressure ulcer of buttock stage 1
C4303670,Radioulnar synostosis with amegakaryocytic thrombocytopenia syndrome
C4303687,Mural thrombus of right atrium
C4303688,Mural thrombus of left ventricle following acute myocardial infarction
C4303689,Mural thrombus of left ventricle
C4303690,Mural thrombus of left atrium
C4303691,Lymphedema of right upper limb
C4303692,Lymphedema of right lower limb
C4303693,Lymphedema of left upper limb
C4303694,Lymphedema of left lower limb
C4303696,Cardiomyopathy due to hypertension
C4303698,Congestive heart failure stage C due to ischemic cardiomyopathy
C4303699,Congestive heart failure stage B due to ischemic cardiomyopathy
C4303701,Gangrene of finger of right hand
C4303702,Lymphedema of bilateral lower limbs
C4303703,Labile systemic arterial hypertension
C4303704,Gangrene of toe of right foot
C4303705,Gangrene of toe of left foot
C4303706,Gangrene of right lower limb due to atherosclerosis
C4303707,Gangrene of right foot
C4303708,Gangrene of left lower limb due to atherosclerosis
C4303709,Gangrene of left foot
C4303711,Venous stasis edema of right lower limb
C4303712,Aneurysm of intracranial portion of right internal carotid artery
C4303713,Aneurysm of intracranial portion of left internal carotid artery
C4303718,Acquired pericardial cyst
C4303719,Atherosclerosis of right iliac artery
C4303720,Atherosclerosis of bilateral renal arteries
C4303721,Atherosclerosis of bilateral iliac arteries
C4303722,Systolic heart failure stage C due to ischemic cardiomyopathy
C4303723,Systolic heart failure stage B due to ischemic cardiomyopathy
C4303725,Postmastectomy lymphedema syndrome of right upper limb
C4303726,Postmastectomy lymphedema syndrome of left upper limb
C4303727,Penetrating ulcer of aorta
C4303730,Primary adenocarcinoma of upper lobe of left lung
C4303731,Primary adenocarcinoma of lower lobe of left lung
C4303734,Endocarditis caused by Erysipelothrix rhusiopathiae
C4303736,"Aniridia, ptosis, intellectual disability, familial obesity syndrome"
C4303737,"Anhidrotic ectodermal dysplasia, immunodeficiency, osteopetrosis, lymphedema syndrome"
C4303739,Amaurosis hypertrichosis syndrome
C4303740,Alopecia and intellectual disability with hypergonadotropic hypogonadism syndrome
C4303742,"Alopecia, contracture, dwarfism, intellectual disability syndrome"
C4303747,Allergic contact dermatitis of right upper eyelid
C4303748,Allergic contact dermatitis of left upper eyelid
C4303749,Posterior cord syndrome of cervical spinal cord at C6 level
C4303758,Fibular dimelia diplopodia syndrome
C4303759,Fibular aplasia and ectrodactyly syndrome
C4303760,Fatal mitochondrial disease due to combined oxidative phosphorylation deficiency 3
C4303761,Familial thrombocytosis
C4303785,Encephalopathy due to prosaposin deficiency
C4303787,Ehlers-Danlos syndrome musculocontractural type
C4303788,Ehlers-Danlos syndrome kyphoscoliotic and deafness type
C4303789,Ehlers-Danlos syndrome cardiac valvular type
C4303792,"Severe combined immunodeficiency, microcephaly, growth retardation, sensitivity to ionizing radiation syndrome"
C4303793,Cervical hypertrichosis and peripheral neuropathy syndrome
C4303804,Deficiency of cathepsin D
C4303808,Cutaneous photosensitivity and lethal colitis syndrome
C4303809,Craniosynostosis and intracranial calcification syndrome
C4303859,Craniofrontonasal dysplasia with Poland anomaly syndrome
C4303860,Craniofacial ulnar renal syndrome
C4303861,Craniofacial dyssynostosis syndrome
C4303862,Craniofacial conodysplasia syndrome
C4303863,Corticosteroid sensitive aseptic abscess syndrome
C4303864,Cooper Jabs syndrome
C4303914,Allergy to bile acid
C4303947,Cerebro-facio-thoracic dysplasia
C4303948,"Cerebellar ataxia, areflexia, pes cavus, optic atrophy, sensorineural hearing loss syndrome"
C4303949,Central bilateral macrogyria
C4303953,Osteoarthritis of joint of right wrist
C4303967,Cardiomyopathy and renal anomaly syndrome
C4303968,Osteoarthritis of joint of right shoulder region
C4303970,Cardiac anomaly and heterotaxy syndrome
C4303971,Cap polyposis
C4303972,Camptodactyly and tall stature with scoliosis and hearing loss syndrome
C4303976,Osteoarthritis of joint of right elbow
C4303980,Acute on chronic hypercapnic respiratory failure
C4303981,Donor derived melanoma
C4303987,Rectal stump leak
C4303988,Braddock syndrome
